image_id,category_id,x,y
4717703,3048,648.7132148591896,453.9306103853368
4717703,3048,514.0096575469366,426.73693449600876
4717703,3047,559.5432543848813,551.3219147331629
4717703,3046,551.9543215785574,648.7132190809891
4717705,3047,477.2956473838111,276.9984119104541
4717705,3046,454.69525065678766,416.1459525435004
4717705,3048,440.12831950543875,166.65529847851604
4717705,3048,602.262546933235,169.75731371555847
4717709,3046,691.0545102367948,511.4073771520361
4717709,3048,615.426038710076,255.50773679589182
4717709,3048,824.2757078904862,261.45222453347463
4717709,3047,612.4941668626248,362.7785770662825
4717724,3046,710.6767790227527,549.0025525094374
4717724,3048,647.2037157263313,405.28164871983813
4717724,3048,818.6747178322405,411.17187398301826
4717724,3047,678.5063529247163,484.7633733842598
4717729,3046,570.6271613410099,438.23492516889377
4717729,3048,491.7877354331442,169.53306884632917
4717729,3048,670.3990659314121,160.21653148799925
4717729,3047,555.8000665828952,285.4786398647373
4717731,3046,553.9384567242582,620.2584095578529
4717731,3048,485.8964646944927,443.293186126966
4717731,3048,695.3854618660829,409.2212780736452
4717731,3047,562.5685716621063,428.61314430139555
4717744,3046,542.4846510850019,621.6357868814518
4717744,3048,500.36887738624677,434.3894198406375
4717744,3048,667.800363054519,424.806695700641
4717744,3047,516.707587836016,485.1958239004289
4717749,3046,608.4148637741775,546.6063150359892
4717749,3048,739.4351898679977,225.70262857681743
4717749,3048,570.1457526743775,224.61184612067296
4717749,3047,626.6747506577545,344.22119236072706
4717753,3048,484.0838450024439,295.77495377317786
4717753,3048,666.1366309261975,300.154230410519
4717753,3047,564.1620463709678,313.91767127073405
4717753,3046,534.7583318059629,575.42304761482
4717760,3047,641.5986502071149,393.4451466966379
4717760,3048,792.7673319348249,228.19090233662962
4717760,3048,583.3035670101382,230.36695371317415
4717760,3046,649.2173874856951,526.0001435249153
4717767,3048,812.4646439430705,382.33829219238106
4717767,3048,586.4431647806186,379.9642469021859
4717767,3047,683.300198621068,524.9874083304752
4717767,3046,702.6105151215036,583.218966733211
4717768,3047,703.9198519300652,458.4937992975619
4717768,3048,828.1851169923214,429.61165040864535
4717768,3048,608.6353698842619,429.61165040864535
4717768,3046,672.8358374501565,646.3873032391664
4717771,3047,568.304318941146,431.3659783033961
4717771,3046,588.9573931956232,483.73627373439206
4717771,3048,653.1294453434633,235.1617728858624
4717771,3048,481.26636315442056,243.2754806286927
4717778,3047,664.6666930164891,353.35914604363137
4717778,3048,750.6323144824598,245.67496716269852
4717778,3048,583.005710904259,246.20543109807252
4717778,3046,679.0143630032483,549.9668160485088
4717779,3048,510.34897406501807,393.4797232635839
4717779,3048,686.83727431266,428.1922365122079
4717779,3047,518.0193400168454,523.0589518023339
4717779,3046,525.48916011843,544.3479390918503
4717780,3048,427.1532487170088,366.4689909188279
4717780,3048,579.1767091275661,321.42500264903316
4717780,3047,482.2070121578691,471.57163021501566
4717780,3046,514.7387814638321,500.9753447800205
4717785,3046,734.543703948046,498.22843336613965
4717785,3048,824.423943820392,290.03076609739645
4717785,3048,623.3288249044825,281.0297837005053
4717785,3047,703.6438447694527,404.36477083892095
4717790,3048,525.374167583089,251.9821873997663
4717790,3048,694.2891235948192,254.4846311925327
4717790,3047,569.7925449046922,315.7945041153088
4717790,3046,579.8023200757576,550.3986096871563
4717794,3048,486.54481036517984,174.94523142194612
4717794,3048,656.4686604309129,206.16633605027528
4717794,3046,580.1218623324903,555.2365633347505
4717794,3047,557.9988939136831,457.9068073893874
4717795,3046,645.99423924883,429.4652961294131
4717795,3048,554.1834686918816,274.2436095992373
4717795,3048,747.2553676283728,259.4621126107157
4717795,3047,619.6207256976807,291.14691681699543
4717801,3048,624.2206973973609,250.10535455519152
4717801,3048,843.8101402126102,250.73096550338315
4717801,3047,695.5403454912024,310.7896165297761
4717801,3046,683.0281265273704,487.21190391980537
4717811,3048,690.7162751728835,384.9151387698332
4717811,3048,513.4598598234063,381.7578998195881
4717811,3047,604.568755244766,428.21441580176656
4717811,3046,627.1204620322313,642.0045961469374
4717812,3048,567.2901011119257,310.789616529776
4717812,3048,726.820892900782,328.9323340273323
4717812,3047,625.4719192937438,425.2764200488377
4717812,3046,646.1170805840666,639.8609752785542
4717816,3046,764.0375815121756,630.6923038927573
4717816,3048,738.9411940353637,304.16180329961065
4717816,3048,949.3498719095141,322.41903208348555
4717816,3047,841.5105216330484,491.10425346414297
4717819,3046,508.3487048267993,574.0347874755829
4717819,3047,469.69655024158084,456.6644987753931
4717819,3048,430.02683404633467,227.38639170029967
4717819,3048,579.8519588085609,238.23288562545832
4717820,3046,581.9343190187572,677.8008966584298
4717820,3048,513.9835516722378,359.98703978046854
4717820,3048,678.4477124120295,358.00554386794096
4717820,3047,599.9355869392805,506.57881195084474
4717828,3048,579.19407796496,433.27770750432165
4717828,3048,426.3529724576729,405.06877863552705
4717828,3047,514.0570967588343,393.78520708800914
4717828,3046,454.5619013264675,581.5028064694425
4717832,3046,667.6103353735506,489.8212396641554
4717832,3048,461.5910417469203,240.26472048018354
4717832,3048,673.7906835717977,211.54094944617606
4717832,3047,656.5841338839127,391.9485027544356
4717851,3046,687.7216093439037,410.9717038916898
4717851,3048,807.4691692544841,173.25062199513022
4717851,3048,602.5677889630465,189.21696331654093
4717851,3047,664.2720973617876,316.9476938878267
4717859,3048,646.5149298694514,232.91663502231714
4717859,3048,795.3561946667223,224.79802057882964
4717859,3047,686.2059338153904,296.96348229871853
4717859,3046,681.2445583221481,406.1137431500506
4717872,3048,774.9516766426914,342.69309649191223
4717872,3048,568.406823107108,337.95376298157515
4717872,3047,644.3633278699416,391.69169832398796
4717872,3046,636.0959532018779,530.6869349308055
4717876,3046,570.5820023035307,584.3295260648423
4717876,3048,501.44367177657693,311.0761727391774
4717876,3048,698.2794360716364,294.8216356424135
4717876,3047,561.6324333277659,495.43058419822853
4717879,3048,625.3804458249333,223.5535320546396
4717879,3048,449.2190791576031,216.87794342303545
4717879,3047,536.3707462683619,380.3240581554006
4717879,3046,525.5198170165286,501.7511235925834
4717883,3048,756.2438327769131,402.00650872278584
4717883,3048,576.3306002538272,392.87724816158965
4717883,3046,607.910069908256,641.7945872406228
4717883,3047,568.2022119158416,518.6621995981479
4717890,3048,542.8378239454277,262.97715102273725
4717890,3047,623.4692250959602,316.9476938878267
4717890,3048,783.5196572723679,253.96934756448445
4717890,3046,650.4668129272786,486.36831568724045
4717891,3048,730.8583132545715,94.9001894830294
4717891,3048,566.6818878418243,80.01606300330229
4717891,3047,582.9191167287994,310.9455405069468
4717891,3046,635.690110611468,304.1800284707072
4717901,3048,720.7580898385622,296.4231940817376
4717901,3048,495.5654718183385,316.46168260523535
4717901,3047,572.9679455845024,376.0801088313822
4717901,3046,591.7549537801733,476.0269924323513
4717903,3046,466.6392984058119,748.7363700917781
4717903,3048,397.03751922126486,459.69302429194676
